"","imdb_title_id","title","year","genre","duration","country","language","director","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"25758","tt0101393","Fuoco assassino",1991,"Action, Crime, Drama",137,"USA","English","Ron Howard",6.7,70047,40000000,77868585,152368585,38,161,74
"25804","tt0101507","Boyz n the Hood - Strade violente",1991,"Crime, Drama",112,"USA","English","John Singleton",7.8,121709,6500000,57504069,57529070,76,236,88
"25807","tt0101516","Bugsy",1991,"Biography, Crime, Drama",136,"USA","English","Barry Levinson",6.8,25628,30000000,49114016,49114016,80,77,57
"25820","tt0101540","Cape Fear - Il promontorio della paura",1991,"Crime, Thriller",128,"USA","English","Martin Scorsese",7.3,168724,35000000,79091969,182291969,73,329,132
"25830","tt0101587","Scappo dalla città - La vita, l'amore e le vacche",1991,"Comedy, Western",113,"USA","English","Ron Underwood",6.8,47309,27000000,124033791,179033791,70,96,54
"25865","tt0101669","L'altro delitto",1991,"Crime, Drama, Mystery",107,"USA","English","Kenneth Branagh",6.9,25462,15000000,38016380,38016380,66,125,69
"25900","tt0101764","Double Impact - La vendetta finale",1991,"Action, Crime",110,"USA","English","Sheldon Lettich",5.6,37262,15000000,30102717,30102717,40,95,69
"25921","tt0101846","F/X 2 - Replay di un omicidio",1991,"Action, Thriller",108,"USA","English","Richard Franklin",5.9,8634,16400000,21082165,21082165,48,27,28
"25933","tt0101889","La leggenda del re pescatore",1991,"Comedy, Drama, Fantasy",137,"USA","English","Terry Gilliam",7.5,77764,24000000,41895491,41895491,61,199,96
"25937","tt0101912","Paura d'amare",1991,"Comedy, Drama, Romance",118,"USA","English","Garry Marshall",6.8,28372,29000000,22773535,22773535,66,86,29
"25938","tt0101917","Nightmare 6 - La fine",1991,"Fantasy, Horror",89,"USA","English","Rachel Talalay",4.9,40496,11000000,34872033,34872033,39,287,93
"25940","tt0101921","Pomodori verdi fritti alla fermata del treno",1991,"Drama",130,"USA","English","Jon Avnet",7.7,65481,11000000,82418501,119418501,64,200,52
"25981","tt0102057","Hook - Capitan Uncino",1991,"Adventure, Comedy, Family",142,"USA","English","Steven Spielberg",6.8,229358,70000000,119654823,300854823,52,415,94
"25983","tt0102059","Hot Shots!",1991,"Action, Comedy",84,"USA","English","Jim Abrahams",6.8,97436,26000000,69467617,181096164,61,108,48
"26013","tt0102175","Jungle Fever",1991,"Drama, Romance",132,"USA","English","Spike Lee",6.5,16709,14000000,32482682,43882682,78,60,44
"26043","tt0102266","L'ultimo boy scout - Missione: sopravvivere",1991,"Action, Comedy, Crime",105,"USA","English","Tony Scott",7,91229,29000000,59509925,59509925,52,173,69
"26058","tt0102307","Lo spacciatore",1992,"Crime, Drama",103,"USA","English","Paul Schrader",6.9,5710,5000000,1050861,1055987,70,46,23
"26114","tt0102492","Papà, ho trovato un amico",1991,"Comedy, Drama, Family",102,"USA","English","Howard Zieff",6.9,70563,17000000,59489799,59489799,56,139,40
"26125","tt0102517","Campioni di guai",1991,"Comedy, Sport",108,"USA","English","Stan Dragoti",6.2,10103,13500000,26255594,26255594,45,41,14
"26129","tt0102526","New Jack City",1991,"Action, Crime, Drama",97,"USA","English","Mario Van Peebles",6.7,30780,8000000,47624353,47624353,61,89,37
"26136","tt0102558","Nient'altro che guai",1991,"Comedy",94,"USA","English","Dan Aykroyd",5.2,22227,40000000,8479793,8479793,13,257,29
"26176","tt0102687","Poison",1991,"Drama, Horror, Romance",85,"USA","English","Todd Haynes",6.5,3868,250000,787280,787280,67,27,36
"26187","tt0102713","Il principe delle maree",1991,"Drama, Romance",132,"USA","English","Barbra Streisand",6.7,15808,30000000,74787599,74787599,65,118,41
"26204","tt0102768","A proposito di Henry",1991,"Drama, Romance",108,"USA","English","Mike Nichols",6.7,28936,25000000,43001500,43001500,47,124,30
"26207","tt0102782","Ritorno alla laguna blu",1991,"Adventure, Drama, Romance",102,"USA","English","William A. Graham",5.2,17820,11000000,2807854,2807854,28,46,14
"26264","tt0102945","A letto con il nemico",1991,"Drama, Thriller",99,"USA","English","Joseph Ruben",6.3,48811,19000000,101599005,174999005,48,128,51
"26266","tt0102951","Bolle di sapone",1991,"Comedy, Romance",97,"USA","English","Michael Hoffman",6.6,14227,25000000,36489888,36489888,65,75,28
"26343","tt0103241","Tutte le manie di Bob",1991,"Comedy",99,"USA","English","Frank Oz",7,61318,35000000,63707829,63707829,60,198,45
"26346","tt0103247","Zanna Bianca - Un piccolo grande lupo",1991,"Adventure, Drama",107,"USA","English","Randal Kleiser",6.7,19198,14000000,34793160,34793160,62,37,13
"26376","tt0103596","3 ragazzi ninja",1992,"Action, Comedy, Family",84,"USA","English","Jon Turteltaub",5.3,19822,6500000,29000301,29000301,36,66,12
"26384","tt0103639","Aladdin",1992,"Animation, Adventure, Comedy",90,"USA","English","Ron Clements, John Musker",8,363761,28000000,217350219,504050219,86,333,155
"26386","tt0103644","Alien³",1992,"Action, Horror, Sci-Fi",114,"USA","English","David Fincher",6.5,271736,50000000,55473545,159814498,59,909,263
"26391","tt0103671","American Me - Rabbia di vivere",1992,"Biography, Crime, Drama",125,"USA","English","Edward James Olmos",7.2,7803,16000000,13086430,13086430,66,55,16
"26446","tt0103855","Guardia del corpo",1992,"Action, Drama, Music",129,"USA","English","Mick Jackson",6.3,116573,25000000,122006740,411006740,39,162,60
"26456","tt0103893","Buffy - L'ammazzavampiri",1992,"Action, Comedy, Fantasy",86,"USA","English","Fran Rubel Kuzui",5.7,38966,7000000,16624456,16624456,48,251,77
"26466","tt0103924","Finché dura siamo a galla",1992,"Adventure, Comedy",90,"USA","English","Thom Eberhardt",5.8,20023,24000000,22518097,22518097,39,90,13
"26499","tt0104009","Fuga dal mondo dei sogni",1992,"Animation, Comedy, Fantasy",102,"USA","English","Ralph Bakshi",4.9,20371,30000000,14110589,14110589,28,102,50
"26518","tt0104070","La morte ti fa bella",1992,"Comedy, Fantasy, Horror",104,"USA","English","Robert Zemeckis",6.6,100720,55000000,58422650,149022650,56,217,85
"26534","tt0104114","Il distinto gentiluomo",1992,"Comedy, Crime",112,"USA","English","Jonathan Lynn",5.9,14962,50000000,46666502,46666502,45,46,16
"26550","tt0104187","Il mio amico scongelato",1992,"Comedy",88,"USA","English","Les Mayfield",5.8,36720,7000000,40693477,40693477,25,76,31
"26558","tt0104231","Cuori ribelli",1992,"Adventure, Drama, Romance",140,"USA","English","Ron Howard",6.6,57850,60000000,58883840,137783840,49,145,37
"26585","tt0104348","Americani",1992,"Crime, Drama, Mystery",100,"USA","English","James Foley",7.7,93872,12500000,10725228,10725228,82,401,124
"26596","tt0104377","Guncrazy",1992,"Crime, Drama, Romance",97,"USA","English","Tamra Davis",5.5,2118,800000,114516,114516,69,24,16
"26599","tt0104389","La mano sulla culla",1992,"Drama, Thriller",110,"USA","English","Curtis Hanson",6.6,37217,11700000,88036683,88036683,64,132,46
"26614","tt0104437","Tesoro, mi si è allargato il ragazzino",1992,"Adventure, Comedy, Family",89,"USA","English","Randal Kleiser",4.9,40421,40000000,58662452,58662452,50,57,18
"26700","tt0104694","Ragazze vincenti",1992,"Comedy, Drama, Family",128,"USA","English","Penny Marshall",7.3,91488,40000000,107533928,132440069,67,223,64
"26706","tt0104714","Arma letale 3",1992,"Action, Crime, Thriller",118,"USA","English","Richard Donner",6.7,154580,35000000,144731527,321731527,40,157,87
"26713","tt0104745","The Living End",1992,"Comedy, Drama",81,"USA","English","Gregg Araki",6.5,2650,22769,692585,692585,65,18,16
