director,avg_vote
Alexander Black,5.9
Charles Tait,6.1
Urban Gad,5.8
Charles L. Gaskill,5.2
"Francesco Bertolini, Adolfo Padovan",7
Sidney Olcott,5.7
Ernst Lubitsch,6.8
Enrico Guazzoni,6.2
"Aristide Demetriade, Grigore Brezeanu",6.7
"André Calmettes, James Keane",5.5
August Blom,6.6
Louis Feuillade,7
Victor Sjöström,7.1
Louis Feuillade,7
Mario Caserini,6.2
Alfred Machin,6.5
Louis Feuillade,7
D.W. Griffith,5.8
"Paul Wegener, Stellan Rye",6.5
George Loane Tucker,6
"Mario Caserini, Eleuterio Rodolfi",6.2
"Francesca Bertini, Gustavo Serena",6.4
D.W. Griffith,6.4
Reginald Barker,6.5
Giovanni Pastrone,7.1
James Kirkwood,6
Léonce Perret,7.5
Louis Feuillade,6.9
Sidney Drew,5.8
"Henrik Galeen, Paul Wegener",6.8
Benjamin Christensen,7
J. Farrell MacDonald,5.2
Lois Weber,6.6
Edward S. Curtis,5.8
D.W. Griffith,6.1
J. Farrell MacDonald,5.5
"Louis J. Gasnier, Donald MacKenzie",6.3
"Oscar Apfel, Cecil B. DeMille",5.7
Edwin S. Porter,6.1
"Mack Sennett, Charles Bennett",6.3
Michael Curtiz,6.3
William Robert Daly,5.3
Cecil B. DeMille,5.6
Maurice Tourneur,6.4
Reginald Barker,5.7
Maurice Tourneur,6.6
W.W. Young,6.2
D.W. Griffith,6.3
Cecil B. DeMille,6.4
Cecil B. DeMille,6.6
"Reginald Barker, Thomas H. Ince",6
Frank Powell,5.8
Cecil B. DeMille,6.4
Benjamin Christensen,6.8
Reginald Barker,6.6
"Luigi Romano Borgnetto, Vincenzo Denizot",5.9
Christy Cabanne,5.6
Edgar Lewis,6.1
Yevgeny Bauer,6.9
Nino Oxilia,6.9
Raoul Walsh,6.8
Louis Feuillade,7.3
George Melford,5.9
Stuart Paton,6.2
"Chester M. Franklin, Sidney Franklin",4.5
"Reginald Barker, Thomas H. Ince",6
Chester Withey,6.8
Victor Sjöström,6.1
Christy Cabanne,6.4
"Chester M. Franklin, Sidney Franklin",5.3
Allan Dwan,6.6
"Chester M. Franklin, Sidney Franklin",5.7
Allan Dwan,6.6
"Charles Swickard, William S. Hart",6.8
John Emerson,5.9
Lloyd Ingraham,5.6
D.W. Griffith,7.8
Louis Feuillade,7.4
Paul Powell,6
Yakov Protazanov,7
Christy Cabanne,4.7
William S. Hart,6.5
Ernst Lubitsch,5.6
Arthur Berthelet,6.4
Lois Weber,6.8
J. Searle Dawley,6.2
John Emerson,5.3
Mauritz Stiller,5.8
"Phillips Smalley, Lois Weber",6.3
Ruth Ann Baldwin,5.9
John Ford,6
J. Gordon Edwards,6.5
Robert Wiene,6.1
Maurice Tourneur,6.1
Holger-Madsen,6.5
Cecil B. DeMille,6.5
"Cecil B. DeMille, Joseph Levering",5.9
Marshall Neilan,5.7
Abel Gance,6.4
Allan Dwan,6.7
"Yakov Protazanov, Alexandre Volkoff",7.1
Maurice Tourneur,6.7
George Irving,6.4
Marshall Neilan,6.1
Cecil B. DeMille,5.7
Yakov Protazanov,6.9
John Ford,6.2
Frank Lloyd,6
Victor Sjöström,7.4
Mauritz Stiller,6
Harry Davenport,4.8
William Desmond Taylor,6.1
Victor Sjöström,6.7
John Emerson,6.4
Marshall Neilan,5.8
Alexander Korda,5.9
Ernst Lubitsch,5.5
Victor Sjöström,7.3
Maurice Tourneur,7
Ida May Park,6
Ernst Lubitsch,6
Abel Gance,5.9
Ernst Lubitsch,6.2
Sidney Franklin,5.4
D.W. Griffith,6.4
John Ford,6.1
William Desmond Taylor,5.1
Marshall Neilan,6.5
Joseph Maxwell,5.2
"F. Richard Jones, James Young",5.9
Cecil B. DeMille,6.4
Walter Edwards,4.4
D.W. Griffith,6.1
Albert Parker,5.1
Charles Chaplin,7.3
Marshall Neilan,6.7
Scott Sidney,5.7
Louis Feuillade,7
Alan Crosland,5.9
Cecil B. DeMille,6.8
Richard Oswald,7
Oscar Apfel,5.9
Ernst Lubitsch,7.2
Enrique Rosas,7.1
David Hartford,6.3
Irvin Willat,7.1
Erich von Stroheim,7
D.W. Griffith,7.3
Jerome Storm,5.7
Marshall Neilan,6.5
Robert Z. Leonard,5.9
Cecil B. DeMille,6.6
Albert Parker,5.3
Cecil B. DeMille,5.4
Allan Dwan,6.5
D.W. Griffith,5.8
Irvin Willat,6.8
Fritz Lang,5.6
James Cruze,3.9
"Joseph De Grasse, Sidney Franklin",5.6
Mauritz Stiller,7.3
Sidney Franklin,6.7
Ernst Lubitsch,6.9
Victor Sjöström,6.9
Abel Gance,7.7
Robert Wiene,8.1
Cecil B. DeMille,7
Ernst Lubitsch,6
George Loane Tucker,6.6
D.W. Griffith,6.9
Otto Rippert,6.3
Carl Theodor Dreyer,6.6
Ernst Lubitsch,7.4
James Cruze,5.2
D.W. Griffith,4.9
Raymond Longford,6.3
Fritz Lang,6.6
Mauritz Stiller,6.9
D.W. Griffith,7
Richard Oswald,6.5
Maurice Tourneur,6.6
Lambert Hillyer,6.7
Victor Fleming,6.9
Tod Browning,6.4
F. Richard Jones,5.5
Hans Werckmeister,6.3
Ernst Lubitsch,6.6
Robert Z. Leonard,6.4
Jacques Feyder,6.7
Carl Theodor Dreyer,6.7
John S. Robertson,7
Mauritz Stiller,6.6
Rasmus Breistein,6.2
Alan Crosland,6.6
F.W. Murnau,6.4
Robert Wiene,6
"Carl Boese, Paul Wegener",7.2
Lawrence C. Windom,5.1
André Antoine,7.1
Marcel L'Herbier,6.9
Frank Borzage,6.2
King Vidor,6.2
John Ford,6.6
Franz Osten,6
Victor Sjöström,6.8
Ernst Lubitsch,6.7
